ASIN,URL,TITLE,PRICE,DISCOUNT,MRP
B09C287Q8M,https://www.amazon.in/Veirdo-Mens-Sleeve-Regular-T-Shirt/dp/B09C287Q8M,"Veirdo Polo T Shirts for Men, Cotton Polo Neck T Shirts for Men, Half Sleeves Men Polo Tshirt, Classic Polo T Shirts for Men, Men's Regular Polo Shirt",NOT GIVEN,NOT GIVEN,NOT GIVEN
B09YVD4XMH,https://www.amazon.in/Veirdo-Original-Printed-Oversize-Sleeves/dp/B09YVD4XMH,Veirdo Marvel Spider Power -Original Marvel Printed Oversize Half Sleeves T-Shirt for Men Black Red,NOT GIVEN,NOT GIVEN,NOT GIVEN
B09H2HVLDY,https://www.amazon.in/JUNEBERRY%C2%AE-Drop-Shoulder-Oversized-Printed-T-Shirt/dp/B09H2HVLDY,"JUNEBERRY Drop Shoulder Tshirt for Women, Printed Over Sized T-Shirts for Women & Girls, Western Tops for Women, Ladies Top Drop Shoulder Oversized Printed Shirts for Women",NOT GIVEN,NOT GIVEN,NOT GIVEN
B0B5K5HHNT,https://www.amazon.in/JUNEBERRY-Women-T-Shirt/dp/B0B5K5HHNT,JUNEBERRY Women T-Shirt,NOT GIVEN,NOT GIVEN,NOT GIVEN
B08K3CKSX3,https://www.amazon.in/JUNEBERRY-Regular-Printed-T-Shirt-JB_TSH_54_Wow_P/dp/B08K3CKSX3,JUNEBERRY Half Sleeve Regular Fit Cartoon Printed Pure Cotton Tshirt for Women & Girls,NOT GIVEN,NOT GIVEN,NOT GIVEN
