Date,Week,Marketplace,Product URL,Product ID,Brand,Title,MRP,Selling Price,Discount %,Division,Category,Sub-Category,No of Sizes,Total Sizes,No of Available Sizes,Aavailable Sizes,No of Non-Available Sizes,Non-Available Sizes,No. of Offers,Offers,Product Details,Fabric,No of Colors,Total Colors,No of Images,Image URL,Seller URL,In Stock,Product Rating,Count of Ratings,Count of Reviews,Current_Size,Bestseller Rank,Rank Detail,Ques,COD,Product Type,Description
2023-02-21,1,Ajio,https://www.ajio.com/p/469240354001,469240354_black,Pepe Jeans,Slim Fit Low-Rise Jeans,1799,1115,38,Boys,Western Wear,Jeans,7,"[['4-5Y', '6-7Y', '8-9Y', '10-11Y', '12-13Y', '14-15Y', '16-17Y']]",6,"[['4-5Y', '6-7Y', '8-9Y', '10-11Y', '12-13Y', '16-17Y']]",6,"[['4-5Y', '6-7Y', '8-9Y', '10-11Y', '12-13Y', '16-17Y']]",13,"{'Use Code EPIC': 'Extra Upto 22% Off on 2590 and Above. Max Discount Rs. 1100.', 'Use Code SAVE15': 'Get upto 15% Off on 1990 and Above. Max Discount Rs. 1000. ', 'Use Code FIRSTBUY': 'Get Up To Extra 25% Off on Rs1490 On Your First Purchase. Max Discount Rs. 1500. ', 'Use Code KIDS30': 'Get Upto Extra 30% Off on 1490 and above', 'Use Code CLEARANCE30': 'Get upto 30% Off on 2990 and Above. Max Discount Rs. 1800. ', 'Use Code SAVE5': 'Get upto 5% Off on 1490 and Above. Max Discount Rs.1500. ', 'Use CodeFREESHIP': 'Shipping on us for Your First Purchase.', 'Instant  Discount': '1% instant discount on all UPI transaction (up to Rs 30) on a minimum transaction of 500 or above', 'Cashback  Discount': 'Get UPTO Rs 500 PAYTM Cashback (min. assured Rs 20) on a minimum transaction of Rs 500 using PAYTM UPI for the first time ever on AJI', '': 'Get 10% Instant Discount of up to Rs. 500 on a minimum transaction value of Rs 2499 using IDBI Bank Debit & Credit Cards'}","{'Package Contains': 'Package contains: 1 jeans', 'Wash Care': 'Hand wash', 'Waist Rise': 'Low Rise', 'Fabric Detail': '71% cotton, 24% polyester, 5% elastane'}","71% cotton, 24% polyester, 5% elastane",1,[['BLACK']],4,https://assets.ajio.com/medias/sys_master/root/20221108/VjV4/636a3729f997ddfdbd6085f3/-473Wx593H-469240354-black-MODEL.jpg,https://www.ajio.com/b/pepe-jeans,Yes,,,,,,,,,,
2023-02-21,1,Ajio,https://www.ajio.com/p/464587616003,464587616_white,Urbano Fashion, Slim Fit Shirt with Embroidered Logo ,709,709,,Men,Western Wear,Shirts,4,"[['S', 'M', 'L', 'XL']]",0,[[]],0,[[]],13,"{'Use Code EPIC': 'Extra Upto 22% Off on 2590 and Above. Max Discount Rs. 1100.', 'Use Code SAVE15': 'Get upto 15% Off on 1990 and Above. Max Discount Rs. 1000. ', 'Use Code MARK': 'Extra Upto 25% Off on Rs2590 and Above. Max Discount Rs.1300. ', 'Use Code CLEARANCE30': 'Get upto 30% Off on 2990 and Above. Max Discount Rs. 1800. ', 'Use Code FIRSTBUY': 'Get Up To Extra 25% Off on Rs1490 On Your First Purchase. Max Discount Rs. 1500. ', 'Use Code SAVE5': 'Get upto 5% Off on 1490 and Above. Max Discount Rs.1500. ', 'Use CodeFREESHIP': 'Shipping on us for Your First Purchase.', '': 'Get 10% Instant Discount of up to Rs. 500 on a minimum transaction value of Rs 2499 using IDBI Bank Debit & Credit Cards', 'Instant  Discount': '1% instant discount on all UPI transaction (up to Rs 30) on a minimum transaction of 500 or above', 'Cashback  Discount': 'Get upto Rs 500 Mobikwik Cashback on a minimum transaction value of Rs 1500 using Mobikwik, minimum assured cashback of Rs 5'}","{'Disclaimer': 'There may be slight variation in shade and colour due to photographic effects and monitor settings', 'Highlight': ""Make heads turn in this unique & stylish Urbano Fashion men's 100% Cotton White Polo Shirt with full buttoned front placket, which brings the latest trend for the fashion conscious. The in-vogue & fashionable buttoned placket design & mandarin collar, soft & premium 100% pure cotton fabric with bio-wash, custom fit & curved hem make it a wardrobe must-have. Pair this uber-cool and stylish half sleeve polo shirt with any Urbano Fashion jeans or chinos for the perfect casual, office, or party wear look, and never go out of style!"", 'Product Specification 1': ""URBANO FASHION Men's Shirt"", 'Fit': 'Slim Fit', 'Size Format': 'UNI', 'Package Contains': 'Package contains: 1 shirt', 'Wash Care': 'Machine wash', 'Fabric Detail': 'Cotton'}",Cotton,1,[['White']],6,https://assets.ajio.com/medias/sys_master/root/20220705/oGsF/62c359a9f997dd03e2b94b33/-473Wx593H-464587616-white-MODEL.jpg,https://www.ajio.com/b/urbano-fashion,No,,,,,,,,,,
2023-02-21,1,Ajio,https://www.ajio.com/p/464587757004,464587757_red,Urbano Fashion,Slim Fit Shirt with Embroidered Logo ,1299,699,46.2,Men,Western Wear,Shirts,4,"[['S', 'M', 'L', 'XL']]",1,[['M']],1,[['M']],13,"{'Use Code MARK': 'Extra Upto 25% Off on Rs2590 and Above. Max Discount Rs.1300. ', 'Use Code FIRSTBUY': 'Get Up To Extra 25% Off on Rs1490 On Your First Purchase. Max Discount Rs. 1500. ', 'Use Code SAVE15': 'Get upto 15% Off on 1990 and Above. Max Discount Rs. 1000. ', 'Use Code EPIC': 'Extra Upto 22% Off on 2590 and Above. Max Discount Rs. 1100.', 'Use Code CLEARANCE30': 'Get upto 30% Off on 2990 and Above. Max Discount Rs. 1800. ', 'Use Code SAVE5': 'Get upto 5% Off on 1490 and Above. Max Discount Rs.1500. ', 'Use CodeFREESHIP': 'Shipping on us for Your First Purchase.', '': 'Get 10% Instant Discount of up to Rs. 500 on a minimum transaction value of Rs 2499 using IDBI Bank Debit & Credit Cards', 'Instant  Discount': '1% instant discount on all UPI transaction (up to Rs 30) on a minimum transaction of 500 or above', 'Cashback  Discount': 'Get upto Rs 500 Mobikwik Cashback on a minimum transaction value of Rs 1500 using Mobikwik, minimum assured cashback of Rs 5'}","{'Disclaimer': 'There may be slight variation in shade and colour due to photographic effects and monitor settings', 'Highlight': ""Make heads turn in this unique & stylish Urbano Fashion men's 100% Cotton Red Polo Shirt with full buttoned front placket, which brings the latest trend for the fashion conscious. The in-vogue & fashionable buttoned placket design & mandarin collar, soft & premium 100% pure cotton fabric with bio-wash, custom fit & curved hem make it a wardrobe must-have. Pair this uber-cool and stylish half sleeve polo shirt with any Urbano Fashion jeans or chinos for the perfect casual, office, or party wear look, and never go out of style!"", 'Product Specification 1': ""URBANO FASHION Men's Shirt"", 'Fit': 'Slim Fit', 'Size Format': 'UNI', 'Package Contains': 'Package contains: 1 shirt', 'Fabric Detail': 'Cotton', 'Wash Care': 'Machine wash'}",Cotton,1,[['Red']],7,https://assets.ajio.com/medias/sys_master/root/20220705/gQOO/62c35dfaf997dd03e2b9d4df/-473Wx593H-464587757-red-MODEL.jpg,https://www.ajio.com/b/urbano-fashion,Yes,,,,,,,,,,
2023-02-21,1,Ajio,https://www.ajio.com/p/441142613001,441142613_white,Kg Frendz,Floral Print Round-Neck T-shirt,399,192,52,Girls,Western Wear,Tshirts,4,"[['2-3Y', '3-4Y', '5-6Y', '7-8Y']]",3,"[['2-3Y', '3-4Y', '5-6Y']]",3,"[['2-3Y', '3-4Y', '5-6Y']]",9,"{'Use Code TRENDS': 'Get upto Extra 40% Off on 1499 and Above. Max Discount Rs. 1000. </br> ', 'Use Code FIRSTBUY': 'Get Up To Extra 30% Off On Rs1490 On APP On Your First Purchase. Max Discount Rs. 1500. ', 'Use CodeFREESHIP': 'Shipping on us for Your First Purchase.', '': 'Get 10% Instant Discount of up to Rs. 500 on a minimum transaction value of Rs 2499 using IDBI Bank Debit & Credit Cards', 'Cashback  Discount': 'Get UPTO Rs 500 PAYTM Cashback (min. assured Rs 20) on a minimum transaction of Rs 500 using PAYTM UPI for the first time ever on AJI', 'Instant  Discount': '1% instant discount on all UPI transaction (up to Rs 30) on a minimum transaction of 500 or above'}","{'Package Contains': 'Package contains: 1 t-shirt', 'Wash Care': 'Machine wash', 'Pack Type': 'Single', 'Fabric Composition': 'Cotton', 'Fitting': 'Stylised Fit'}",,1,[['WHITE']],4,https://assets.ajio.com/medias/sys_master/root/20220531/i38M/629517e6aeb26921aff776cb/-473Wx593H-441142613-white-MODEL.jpg,https://www.ajio.com/b/kg-frendz,Yes,,,,,,,,,,
2023-02-21,1,Ajio,https://www.ajio.com/p/462685540004,462685540_green,Jaipur Kurti,Geometric Print Flared Maxi Skirt,2099,1133,46,Women,Ethnic Wear,Skirts & Ghagras,5,"[['S', 'M', 'L', 'XL', 'XXL']]",5,"[['S', 'M', 'L', 'XL', 'XXL']]",5,"[['S', 'M', 'L', 'XL', 'XXL']]",14,"{'Use Code BOOM': 'Extra Upto 39% Off on Rs2490 and Above. Max Discount 1250. ', 'Use Code MARK': 'Extra Upto 25% Off on Rs2590 and Above. Max Discount Rs.1300. ', 'Use Code FIRSTBUY': 'Get Up To Extra 25% Off on Rs1490 On Your First Purchase. Max Discount Rs. 1500. ', 'Use Code SAVE15': 'Get upto 15% Off on 1990 and Above. Max Discount Rs. 1000. ', 'Use Code EPIC': 'Extra Upto 22% Off on 2590 and Above. Max Discount Rs. 1100.', 'Use Code CLEARANCE30': 'Get upto 30% Off on 2990 and Above. Max Discount Rs. 1800. ', 'Use Code SAVE5': 'Get upto 5% Off on 1490 and Above. Max Discount Rs.1500. ', 'Use CodeFREESHIP': 'Shipping on us for Your First Purchase.', 'Cashback  Discount': 'Get UPTO Rs 500 PAYTM Cashback (min. assured Rs 20) on a minimum transaction of Rs 500 using PAYTM UPI for the first time ever on AJI', 'Instant  Discount': '1% instant discount on all UPI transaction (up to Rs 30) on a minimum transaction of 500 or above', '': 'Earn up to 5% AJIO Points (up to 200) and pay up to 3% using AJIO Points (up to 200) on orders for 2999 or above. '}","{'Size Tip': 'We recommend you buy a size larger', 'Size Format': 'UNI', 'Wash Care': 'Hand wash', 'Fabric Detail': 'Viscose rayon'}",Viscose rayon,1,[['Green']],8,https://assets.ajio.com/medias/sys_master/root/20210727/cfJQ/60ffd76daeb269a9e355bc25/-473Wx593H-462685540-green-MODEL.jpg,https://www.ajio.com/b/jaipur-kurti,Yes,,,,,,,,,,
