Date,Week,Marketplace,Product ID,Category,Brand,Title,MRP,Selling Price,Discount %,Rating,Count Of Rating,Image URL,Available Sizes,Division
15-02-2023,2,Myntra,19672266,Kurtas,Neudis,Men Pathani Kurta,2299,781,(66% Off),0.0,0,https://assets.myntassets.com/assets/images/19672266/2022/8/26/65e1e86e-1523-43fc-bc3a-931cabe730691661514931660NEUDISMenBeigeThreadWorkGrandeurMajesticArtworkJacquardPatha1.jpg,"[['S,M,L,Xl,Xxl']]",Men
15-02-2023,2,Myntra,19468772,Kurtas,Neudis,Men Floral Printed Kurta,2799,979,(65% Off),0.0,0,https://assets.myntassets.com/assets/images/19468772/2022/8/11/7ff62b92-8647-40fd-9b11-3545dbd324fc1660193079530NEUDISMenGreenFloralPrintedKeyholeNeckGrandeurMajesticArtwor1.jpg,"[['S,M,L,Xl,Xxl']]",Men
15-02-2023,2,Myntra,19468768,Kurta Sets,Neudis,Embroidered Kurta With Pyjama,2999,1409,(53% Off),0.0,0,https://assets.myntassets.com/assets/images/19468768/2022/8/11/1a4b7669-01bd-42e8-9191-6a25a2043c351660192350070NEUDISMenMaroonPrintedDupionSilkKurtawithSharara1.jpg,"[['S,M,L,Xl,Xxl']]",Men
15-02-2023,2,Myntra,19468766,Kurtas,Neudis,Men Ethnic Motifs Printed Kurta,2799,979,(65% Off),4.0,5,https://assets.myntassets.com/assets/images/19468766/2022/8/11/cbaea6e5-dcee-42fb-b320-3aa56d7b03fd1660191699677NEUDISMenBlueGeometricPrintedCold-ShoulderSleevesThreadWorkG1.jpg,"[['S,M,L,Xl']]",Men
15-02-2023,2,Myntra,19468744,Kurta Sets,Neudis,Men Printed Kurta With Pyjamas,3199,1279,(60% Off),0.0,0,https://assets.myntassets.com/assets/images/19468744/2022/8/11/455c0b48-0dfc-411b-9beb-852b1ed312661660192188786NEUDISMenGreenPrintedPureCottonKurtawithChuridar1.jpg,"[['S,M,L,Xl,Xxl']]",Men
15-02-2023,2,Myntra,19013516,Kurta Sets,Neudis,Men Kurti With Trousers,3199,1279,(60% Off),0.0,0,https://assets.myntassets.com/assets/images/19013516/2022/7/8/ab9b699a-0491-4953-9961-132650a1e6501657258897362NEUDISMenYellowPleatedPureCottonKurtiwithTrousers1.jpg,"[['S,M,Xl,Xxl']]",Men
15-02-2023,2,Myntra,18970984,Kurta Sets,Sethukrishna,Men Kurta With Dhoti Pants,3488,1848,(47% Off),0.0,0,https://assets.myntassets.com/assets/images/18970984/2022/7/5/acf92fb0-152c-4eaf-b313-52d746778c221657014662876MensSolidKurtaWithDhotiPant1.jpg,"[['S,M,L,Xl,Xxl']]",Men
15-02-2023,2,Myntra,18845842,Beauty Accessory,Gubb,Set Of 2 Velvet Hair Clips,395,276,(30% Off),0.0,0,https://assets.myntassets.com/assets/images/18845842/2023/1/10/2452efba-63c1-4ee6-90b8-00f82eca56b71673335343793GUBBBlackSetof2BowKnotVelvetHairClips1.jpg,[['Onesize']],Unisex
15-02-2023,2,Myntra,17277632,Kurta Sets,Neudis,Dupion Silk Kurta & Churidhar,2799,979,(65% Off),0.0,0,https://assets.myntassets.com/assets/images/17277632/2022/2/24/44388cd2-d4b2-4ad6-b973-08108d6e6a321645696612316NEUDISMenNavyBlueYokeDesignAngrakhaThreadWorkDupionSilkKurta1.jpg,"[['S,L,Xl,Xxl']]",Men
15-02-2023,2,Myntra,16765588,Deodorant,Lattafa,Set Of 2 Deodorants,900,900,,0.0,0,https://assets.myntassets.com/assets/images/16765588/2022/1/11/73c3c568-21ce-4e68-aef6-af281d85d3aa1641898713174LattafaBadeeAlOudAmethystRamzGoldPerfumedSprayBody250mlPO21.jpg,[['Pack']],Unisex
15-02-2023,2,Myntra,16765560,Deodorant,Lattafa,Set Of 2 Deodorants,900,900,,0.0,0,https://assets.myntassets.com/assets/images/16765560/2022/1/11/0eb137d5-9299-4f97-8d73-863c5ff1d0961641886727030LattafaVelvetOudLailMalekiPerfumedSprayBody250mlPO21.jpg,[['Pack']],Unisex
15-02-2023,2,Myntra,16765532,Deodorant,Lattafa,Set Of 2 Deodorants,900,900,,0.0,0,https://assets.myntassets.com/assets/images/16765532/2022/1/11/1271790c-66ba-423b-9ee7-855f0b6bee821641884007185LattafaFakharBlackPrideofLattafaRamzGoldPerfumedSprayBody2501.jpg,[['Pack']],Unisex
15-02-2023,2,Myntra,16765476,Deodorant,Lattafa,Set Of 2 Deodorants,900,900,,0.0,0,https://assets.myntassets.com/assets/images/16765476/2022/1/11/3c9827be-9873-4ac5-85c3-988f1f3bbfed1641882985011LattafaFakharBlackPrideofLattafaRaeedLuxePerfumedSprayBody251.jpg,[['Pack']],Unisex
15-02-2023,2,Myntra,16349800,Deodorant,Lattafa,Set Of 2 Deodorant Bodyspray,900,699,(Rs. 201 Off),0.0,0,https://assets.myntassets.com/assets/images/16349800/2021/12/3/b3f5f437-50e3-4042-bc74-7e09198a6f331638506477265LattafaRaghbaSheikAlShuyukhKususiDeodorantBodySpray250mlPACK1.jpg,[['Pack']],Unisex
15-02-2023,2,Myntra,16349792,Deodorant,Lattafa,Set Of 2 Deodorant Bodyspray,900,900,,0.0,0,https://assets.myntassets.com/assets/images/16349792/2021/12/3/74dd1525-e37d-4852-9ad8-713d17c32dc21638510975562LattafaOudMoodPureMuskPerfumedDeodorantBodySpray250mlPACKOF21.jpg,[['Pack']],Unisex
15-02-2023,2,Myntra,16349784,Deodorant,Lattafa,Set Of 2 Deodorant Bodyspray,900,699,(Rs. 201 Off),0.0,0,https://assets.myntassets.com/assets/images/16349784/2021/12/3/2d1a4f64-a766-497a-9fea-c1dea00b92631638508180636LattafaRaghbaPureMuskPerfumedDeodorantBodySpray250mlPACKOF21.jpg,[['Pack']],Unisex
15-02-2023,2,Myntra,16349776,Deodorant,Lattafa,Set Of 2 Deodorant Bodyspray,900,699,(Rs. 201 Off),0.0,0,https://assets.myntassets.com/assets/images/16349776/2021/12/3/4ca7ceb7-e208-4a6b-84c7-18922540be341638507835411LattafaRaeesRaghbaPerfumedDeodorantBodySpray250mlPACKOF21.jpg,[['Pack']],Unisex
15-02-2023,2,Myntra,16349768,Deodorant,Lattafa,Set Of 2 Deodorant Bodyspray,900,699,(Rs. 201 Off),0.0,0,https://assets.myntassets.com/assets/images/16349768/2021/12/3/5c0d5b75-c651-4d43-9067-5efb5319a8811638512731798LattafaRaeesSheikAlShuyukhLuxeEditionDeodorantBodySpray250ml1.jpg,[['Pack']],Unisex
15-02-2023,2,Myntra,16349760,Deodorant,Lattafa,Set Of 2 Deodorant Bodyspray,900,900,,0.0,0,https://assets.myntassets.com/assets/images/16349760/2021/12/3/d49a05d2-5d0b-4ffa-8acf-ef96252f3cdf1638509622862LattafaPureMuskQaeedPerfumedDeodorantBodySpray250mlPACKOF21.jpg,[['Pack']],Unisex
